Animal,ID,Season,ReleaseDate,ReleaseTime,RecaptureDate,RecaptureTime,ConsiderLab
Asana,111,V,17/2/2012,18:40,24/2/2012,21:00,Y
Konrad Lorenz,123,I,19/7/2012,18:00,27/7/2012,16:30,Y
Goiaba,127,I,23/08/2012,17:00,31/08/2012,13:30,Y
Chronos,154,V,28/02/2014,18:00,10/03/2014,19:30,Y
Legolas,153,V,26/03/2014,18:00,09/04/2014,12:00,Y
Chronos,154,I,14/7/2014,17:20,20/7/2014,19:40,Y
Legolas,153,I,20/7/2014,21:00,26/7/2014,13:10,Y
Sunin,155,I,21/7/2014,11:30,26/7/2014,10:20,Y
Brandon,157,V,12/1/2015,19:30,22/1/2015,20:45,N
Amaterasu,160,V,14/1/2015,19:45,21/1/2015,22:45,N
Chronos,154,V,21/1/2015,20:00,28/1/2015,22:50,Y
Sunin,155,V,22/1/2015,23:40,28/1/2015,22:50,Y
Gandalf (II),159,V,30/1/2015,19:00,7/2/2015,21:00,Y
Lucas,186,V,12/2/2015,22:15,22/2/2015,12:15,N
Viruta,188,I,7/7/2015,20:15,16/7/2015,17:10,N
Garolfa,180,I,18/7/2015,19:00,26/7/2015,20:40,Y
Monica,185,I,19/7/2015,16:23,26/7/2015,12:45,Y
Meryl Streep,191,I,22/7/2015,18:15,30/7/2015,12:00,N
Sergio,184,I,27/7/2015,17:05,8/8/2015,16:20,N
Texas,183,I,27/7/2015,17:10,5/8/2015,07:20,N
Inês Brasil,199,V,26/1/2016,18:07,2/2/2016,20:30,N
C-3PO,198,V,16/2/2016,10:30,6/3/2016,19:30,N
Caramelo,201,V,17/2/2016,20:55,23/2/2016,10:45,N
Tonari,202,V,8/3/2016,14:40,14/3/2016,13:15,N
BB-8,193,O-I,20/3/2016,09:45,29/6/2016,10:15,N
Patita,222,I,27/7/2016,15:15,8/8/2016,14:30,Y
Jarilla,221,I,1/8/2016,15:30,9/8/2016,15:00,N
Elsa,220,V,26/1/2017,09:22,22/2/2017,22:05,Y
Xuxa,238,V,28/1/2017,20:15,17/2/2017,12:15,Y
MrPablo,249,V,18/2/2017,11:55,14/3/2017,11:30,Y
Patita,222,V,27/2/2017,17:15,28/3/2017,09:45,Y
Hulk,245,O,12/4/2017,10:22,10/5/2017,12:20,Y
Elsa,220,O,12/4/2017,10:28,10/5/2017,12:20,Y
Xuxa,238,I,10/6/2017,14:00,5/7/2017,12:15,Y
Enya,255,P,20/10/2017,16:30,31/10/2017,09:30,N
Maui,262,P,20/10/2017,16:30,1/11/2017,12:45,Y
Melisandre,302,V,9/2/2019,15:00,13/3/2019,12:15,Y
Khal Drogo,303,V,9/2/2019,15:07,22/3/2019,15:30,N
Nazaré,306,I,29/6/2019,13:35,13/7/2019,15:50,Y
Janus,319,I,14/7/2019,15:58,29/7/2019,15:40,Y
Laika,322,I,14/7/2019,15:45,1/8/2019,15:00,Y
Dancing Queen,338,V,2/2/2020,17:45,22/2/2020,14:15,Y
Urano,335,V,2/2/2020,17:52,23/2/2020,09:45,Y
Daenerys,294,I,21/8/2020,16:44,7/9/2020,15:00,Y
Descargo,341,V,19/2/2021,12:07,11/3/2021,09:45,Y
Adalto,342,I,13/7/2021,13:00,2/8/2021,15:00,Y
Pandemius,343,I,13/7/2021,13:00,14/8/2021,19:10,Y
Arvejas,346,I,16/8/2021,13:35,6/9/2021,13:00,Y
Covid,345,I,16/8/2021,13:40,9/9/2021,15:20,Y
Perico,347,V,12/1/2022,08:20,31/1/2022,09:30,N
Violeta,348,V,12/1/2022,08:40,31/1/2022,10:00,N
